sku,price
557969,"55,35"
557976,"84,87"
557983,"92,25"
808269,"170,97"
456514,"170,97"
208540,"11314,77"
208984,"5410,77"
208953,"6948,27"
208991,"8485,77"
207482,"27058,77"
208922,"10453,77"
208939,"13405,77"
207499,"13036,77"
207581,"14758,77"
207598,"7747,77"
207659,"9838,77"
207642,"8854,77"
211052,"1597,77"
208304,"1474,77"
208533,"872,07"
1033041,"490,77"
237915,"306,27"
205914,"2335,77"
209097,"429,27"
270882,"2458,77"
707821,"146,37"
707753,"153,75"
707760,"91,02"
707777,"88,56"
802014,"109,47"
707845,"220,17"
707784,"134,07"
779033,"34,97"
850206,"54,12"
850145,"49,20"
850152,"34,44"
850008,"20,91"
850015,"20,91"
850022,"20,91"
850039,"20,91"
850046,"20,91"
850053,"20,91"
850060,"20,91"
850077,"23,37"
850084,"23,37"
850091,"23,37"
850107,"23,37"
850114,"23,37"
850121,"23,37"
850138,"23,37"
975466,"11,81"
976814,"72,57"
556696,"84,87"
780602,"5,17"
786888,"5,56"
786673,"4,67"
799376,"19,68"
797952,"70,11"
799130,"4,74"
770900,"9,84"
770962,"14,76"
780527,"4,92"
797938,"136,53"
632802,"103,32"
238073,"736,77"
237793,"712,17"
237878,"478,47"
237885,"330,87"
237861,"995,07"
237892,"207,87"
238035,"2704,77"
238028,"7378,77"
208656,"170,97"
235928,"51,66"
871546,"44,28"
970720,"134,07"
282120,"220,17"
274101,"244,77"
274156,"2212,77"
274163,"2827,77"
999109,"60,27"
678190,"72,57"
689608,"30,75"
689806,"23,37"
688014,"61,50"
682104,"54,12"
682302,"60,27"
682401,"72,57"
679005,"78,72"
679043,"34,44"
679012,"39,36"
679050,"88,56"
679067,"47,97"
679029,"55,35"
679036,"35,67"
975541,"121,77"
975534,"121,77"
699069,"23,98"
673416,"72,57"
674413,"72,57"
673744,"21,52"
673751,"21,52"
673768,"55,35"
673782,"46,74"
673775,"56,58"
512166,"18,45"
512173,"23,37"
512227,"12,30"
512234,"13,53"
676288,"114,39"
676264,"111,93"
677001,"59,04"
677308,"59,04"
676905,"59,04"
677209,"60,27"
676509,"55,35"
677254,"158,67"
677230,"158,67"
677223,"183,27"
677247,"183,27"
677216,"170,97"
677261,"170,97"
205846,"1228,77"
205853,"1204,17"
205839,"1474,77"
205808,"589,17"
205815,"613,77"
205822,"736,77"
215029,"3688,77"
215012,"1720,77"
207307,"2335,77"
207208,"1167,27"
209202,"1228,77"
209301,"2458,77"
209424,"2089,77"
209431,"2227,53"
207369,"1610,07"
207376,"3073,77"
755204,"306,27"
755211,"306,27"
755228,"306,27"
572016,"72,57"
572115,"72,57"
572214,"70,11"
572313,"68,88"
572412,"63,96"
572511,"63,96"
572610,"66,42"
572719,"66,42"
759240,"158,67"
759257,"158,67"
759264,"158,67"
759233,"158,67"
755075,"232,47"
755372,"244,77"
755082,"232,47"
755099,"232,47"
755389,"244,77"
755396,"244,77"
755006,"232,47"
755013,"244,77"
755020,"244,77"
755037,"232,47"
755044,"244,77"
755051,"244,77"
755068,"244,77"
755105,"244,77"
755112,"244,77"
755143,"244,77"
755334,"257,07"
755341,"257,07"
755358,"257,07"
755365,"257,07"
755259,"281,67"
755273,"281,67"
1050215,"3355,44"
1050216,"3562,08"
625002,"84,87"
625057,"92,25"
625101,"105,78"
833100,"220,17"
625804,"60,27"
625705,"66,42"
836002,"97,17"
836019,"121,77"
836026,"158,67"
836033,"183,27"
836040,"293,97"
830000,"121,77"
830208,"152,52"
830406,"220,17"
830505,"269,37"
830604,"404,67"
831007,"140,22"
831205,"170,97"
831403,"244,77"
831502,"306,27"
831601,"404,67"
831700,"613,77"
832004,"146,37"
832202,"195,57"
832400,"244,77"
832509,"343,17"
832608,"490,77"
832707,"736,77"
832806,"933,57"
832929,"1105,77"
833025,"1351,77"
832820,"195,57"
832837,"281,67"
832844,"392,37"
832851,"527,67"
836101,"97,17"
836200,"121,77"
836309,"170,97"
836408,"220,17"
836507,"306,27"
834206,"404,67"
834404,"429,27"
834701,"527,67"
834909,"736,77"
835104,"872,07"
832882,"293,97"
832899,"367,77"
837108,"121,77"
837207,"158,67"
837306,"207,87"
837405,"343,17"
837603,"441,57"
626856,"158,67"
626832,"293,97"
626849,"330,87"
626825,"429,27"
86436,"88,56"
195789,"5533,77"
1002949,"207,87"
1013637,"281,67"
1002952,"207,87"
1023325,"318,57"
800164,"134,07"
212103,"1351,77"
212127,"1388,67"
212134,"1425,57"
212165,"1388,67"
212189,"1388,67"
212196,"1720,77"
212172,"859,77"
209707,"715,86"
274224,"9838,77"
274255,"7378,77"
976562,"103,32"
149508,"3774,87"
149621,"4303,77"
154908,"2704,77"
146002,"4303,77"
146804,"4426,77"
149607,"5336,97"
149614,"7452,57"
154717,"1474,77"
154700,"1105,77"
700044,"12277,86"
154878,"1413,27"
148105,"3043,02"
149591,"6724,41"
263662,"1228,77"
263655,"1228,77"
263624,"1720,77"
263907,"1597,77"
263808,"1610,07"
263709,"1536,27"
263501,"982,77"
263600,"995,07"
150801,"1499,37"
150603,"970,47"
809600,"293,97"
809709,"257,07"
592315028,"13,53"
812372,"22,14"
513538,"24,60"
513545,"23,37"
513552,"30,75"
513569,"35,67"
810330,"712,17"
222157,"552,27"
198247,"84,87"
198254,"121,77"
237922,"158,67"
221792,"0,00"
221761,"2335,77"
222645,"332,10"
1180060,"2361,60"
1180065,"2709,69"
782552,"18,57"
441367,"29,52"
441466,"44,28"
820667,"146,37"
820674,"158,67"
845134,"367,77"
596548,"38,13"
152706,"47,97"
152805,"72,57"
152904,"84,87"
426463,"23,37"
426470,"23,37"
425763,"55,35"
226018,"6148,77"
226001,"4500,57"
143087,"3934,77"
779286,"36,28"
73160,"11,24"
4755,"81,18"
72388,"118,08"
40375,"59,04"
65,"103,32"
00016,"103,32"
18223,"43,05"
877234,"1,23"
877265,"1,23"
877289,"1,21"
877296,"1,23"
265116,"1007,37"
265123,"97,17"
444023,"20,91"
880685,"9,96"
880869,"12,18"
505632,"982,77"
505618,"798,27"
505625,"958,17"
505694,"1105,77"
506011,"1413,27"
505656,"355,47"
505663,"490,77"
505144,"1142,67"
505687,"1019,67"
289952,"1769,97"
289969,"2212,77"
629291,"293,97"
860502,"576,87"
860557,"724,47"
860533,"724,47"
860526,"724,47"
860540,"724,47"
860083,"306,27"
629376,"306,27"
225967,"7132,77"
691403,"361,62"
691038,"441,57"
551240,"22,14"
551257,"22,14"
551226,"13,53"
551370,"13,53"
551387,"13,53"
551271,"15,99"
551394,"15,99"
551424,"15,99"
551431,"15,99"
551219,"13,53"
551325,"13,53"
551295,"13,53"
551332,"13,53"
551349,"13,53"
551356,"13,53"
551264,"15,99"
551363,"13,53"
551233,"13,53"
551288,"13,53"
229347,"392,37"
229408,"392,37"
229354,"392,37"
229361,"392,37"
229415,"392,37"
229378,"392,37"
229385,"392,37"
229392,"404,67"
229484,"392,37"
589106,"97,17"
551714,"47,97"
551110,"35,67"
551790,"54,12"
551615,"47,97"
551011,"35,67"
551691,"49,20"
551400,"84,87"
551592,"49,20"
551202,"29,52"
199657,"232,47"
199664,"392,37"
199978,"170,97"
595558,"14,76"
595589,"20,91"
598498,"7,75"
595565,"19,68"
552049,"25,83"
597507,"39,36"
594025,"23,37"
272046,"10263,12"
271575,"4008,57"
271353,"4672,77"
271773,"3565,77"
271780,"3750,27"
271292,"859,77"
271360,"11068,77"
271568,"1228,77"
271551,"1808,10"
426920,"84,87"
426999,"97,17"
426982,"27,06"
426685,"109,47"
426692,"60,27"
426715,"41,82"
426722,"35,67"
426746,"31,98"
426753,"72,57"
427149,"109,47"
427118,"84,87"
427125,"84,87"
427132,"115,62"
426555,"30,75"
426524,"107,01"
808818,"232,47"
877050,"87,33"
877043,"105,78"
877036,"104,55"
877029,"104,55"
877012,"105,78"
943465,"613,77"
943458,"479,70"
871331,"75,03"
871348,"75,03"
427231,"109,47"
427248,"158,67"
426517,"207,87"
877203,"72,57"
877111,"72,57"
815694,"29,52"
877104,"72,57"
691311,"84,87"
691335,"158,67"
691342,"207,87"
426562,"60,27"
426678,"97,17"
426661,"97,17"
691380,"211,56"
691397,"404,67"
877005,"72,57"
425817,"7,63"
425862,"18,20"
425879,"60,27"
425855,"46,74"
426418,"47,97"
427187,"89,79"
427088,"95,94"
427071,"97,17"
427095,"40,59"
561003,"60,27"
420706,"15,74"
426296,"40,59"
426319,"40,59"
426890,"40,59"
561102,"84,87"
426968,"332,10"
426043,"33,21"
425558,"31,98"
425565,"23,37"
426425,"23,37"
426432,"29,52"
426449,"23,37"
426456,"50,43"
425619,"34,44"
425664,"23,37"
425626,"41,82"
425688,"25,83"
425657,"68,88"
425633,"44,28"
425671,"35,67"
425695,"35,67"
566435,"13,09"
427170,"29,52"
426494,"31,98"
426074,"97,17"
